EnglishName,Family,fk_GuildID,fk_LengthWeightID,Genus,LocalName,Notes,Order,pk_SpeciesID,ScientificName,SpeciesCode
Vanderbilt's chromis,Pomacentridae,10,106,Chromis,,"Order, Family, and English name from FishBase (2012)",Perciformes,104,Chromis vanderbilti,CH.VAND
,,10,107,,,,,105,Chromis weberi,CH.WEBE
,,10,108,,,,,106,Chromis xanthura,CH.XANT
,,6,109,,,,,107,Cirripectes auritus,CI.AURI
,,10,110,,,,,108,Cirrhilabrus exquisitus,CI.EXQU
,,2,111,,,,,109,Cirrhitops hubbardi,CI.HUBB
,,2,112,,,,,110,Cirrhitichthys oxycephalus,CI.OXYC
,,6,113,,,,,111,Cirripectes stigmaticus,CI.STIG
,,6,114,,,,,112,Cirripectes variolosus,CI.VARI
,,6,115,,,,,113,Cirripectes sp,CIRR.SP
,,2,116,,,,,114,Coris aygula,CO.AYGU
,,2,117,,,,,115,Coris centralis,CO.CENT
,,2,118,,,,,116,Coris gaimard,CO.GAIM
,,4,119,,,,,117,Coryphopterus neophytus,CO.NEOP
,,4,120,,,,,118,Ctenochaetus binotatus,CT.BINO
,,4,121,,,,,119,Ctenochaetus cyanocheilus,CT.CYAN
,,4,122,,,,,120,Ctenochaetus flavicauda,CT.FLAV
,,4,123,,,,,121,Ctenochaetus hawaiiensis,CT.HAWA
,,4,124,,,,,122,Ctenochaetus marginatus,CT.MARG
,,4,125,,,,,123,Ctenochaetus striatus,CT.STRI
,,10,126,,,,,124,Dascyllus auripinnis,DA.AURI
,,10,127,,,,,125,Decapterus macarellus,DE.MACA
,,2,128,,,,,126,Diplogrammus goramensis,DI.GORA
,,2,129,,,,,127,Diodon hystrix,DI.HYST
,,2,130,,,,,128,Echidna nebulosus,EC.NEBU
,,2,131,,,,,129,Echidna unicolor,EC.UNIC
Rainbow runner,,1,132,,Kamaa,,,130,Elagatis bipinnulata,EL.BIPI
,,2,133,,,,,131,Enchelychore pardalis,EN.PARD
,,9,134,,,,,132,Epinephelus fasciatus,EP.FASC
,,9,135,,,,,133,Epinephelus hexagonatus,EP.HEXA
,,9,136,,,,,134,Epinephelus howlandi,EP.HOWL
,,2,137,,,,,135,Epibulus insidiator,EP.INSI
,,1,138,,,,,136,Epinephelus macrospilos,EP.MACR
,,9,139,,,,,137,Epinephelus maculatus,EP.MACU
,,9,140,,,,,138,Epinephelus melanostigma,EP.MELA
,,1,141,,,,,139,Epinephelus polyphekadion,EP.POLY
,,9,142,,,,,140,Epinephelus retouti,EP.RETO
,,9,143,,,,,141,Epinephelus spilotoceps,EP.SPIL
,,1,144,,,,,142,Epinephelus tauvina,EP.TAUV
Mackerel tuna,,1,145,,Tawatawa,,,143,Euthynnus affinis,EU.AFFI
,,2,146,,,,,144,Eviota albolineata,EV.ALBO
,,,147,,,,,145,Eviota cometa,EV.COME
,,2,148,,,,,146,Eviota sp,EVIO.SP
,,1,149,,,,,147,Fistularia commersonii,FI.COMM
,,2,150,,,,,148,Forcipiger flavissimus,FO.FLAV
,,2,151,,,,,149,Forcipiger longorostris,FO.LONG
Striped large-eye bream,,2,152,,Neeia,,,150,Gnathodentex aureolineatus,GN.AURE
Golden toothless trevally,,2,,,Ree,,,151,Gnathanodon speciosus,GN.SPEC
,,2,153,,,,,152,Gnatholepis sp,GNAT.SP
,,2,154,,,,,153,Gomphosus varius,GO.VARI
,,2,155,,,,,154,Gobiid sp,GOBI.SP
,,9,156,,,,,155,Gracila albomarginata,GR.ALBO
,,9,157,,,,,156,Gymnothorax breedeni,GY.BREE
,,9,158,,,,,157,Gymnothorax flavimarginatus,GY.FLAV
,,1,159,,,,,158,Gymnothorax javanicus,GY.JAVA
,,9,160,,,,,159,Gymnothorax meleagris,GY.MELE
,,9,161,,,,,160,Gymnothorax monostigma,GY.MONO
,,9,162,,,,,161,Gymnothorax undulatus,GY.UNDU
,,1,163,,,,,162,Gymnosarda unicolor,GY.UNIC
,,9,164,,,,,163,Gymnothorax sp,GYMN.SP
,,2,165,,,,,164,Halichoeres hortulanus,HA.HORT
,,2,168,,,,,165,Halichoeres melasmapomus,HA.MELA
,,2,166,,,,,166,Halichoeres marginatus,HA.MARG
,,2,167,,,,,167,Halichoeres margaritaceus,HA.MARGT
,,2,170,,,,,168,Halichoeres pallidus,HA.PALL
,,2,169,,,,,169,Halichoeres ornatissimus,HA.ORNA
,,2,171,,,,,170,Halichoeres trimaculatus,HA.TRIM
Pennant coralfish,,10,172,,Ibwabwanrotuma,,,171,Heniochus acuminatus,HE.ACUM
,,2,173,,,,,172,Heniochus chrysostomus,HE.CHRY
,,2,174,,,Guild info: Added by RT. Corallivore,,173,Hemigymnus fasciatus,HE.FASC
,,10,175,,,,,174,Hemitaurichthys thompsoni,HE.THOM
,,6,176,,,,,175,Hipposcarus longiceps,HI.LONG
,,2,177,,,,,176,Hologymnosus annulatus,HO.ANNU
,,2,178,,,,,177,Hologymnosus doliatus,HO.DOLI
,,6,179,,,,,178,Kyphosus bigibbus,KY.BIGI
Rudderfish,,6,180,,Inonikai,,,179,Kyphosus cinerascens,KY.CINE
,,6,181,,,,,180,Kyphosus vaigiensis,KY.VAIG
,,6,182,,,,,181,Kyphosus sp,KYPH.SP
,,2,183,,,,,182,Labroides bicolor,LA.BICO
Bridled beauty,,2,184,,Beru,,,183,Labroides dimidiatus,LA.DIMI
,,2,185,,,,,184,Labroides pectoralis,LA.PECT
,,2,186,,,,,185,Labroides rubrolabiatus,LA.RUBR
,,2,187,,,,,186,Labrichthys unilineatus,LA.UNIL
Orange-striped emperor,,1,188,,Okaoka,,,187,Lethrinus obsoletus,LE.OBSO
Longface emperor,Lethrinidae,1,189,Lethrinus,,"Order, Family, and EnglishName from Fishbase (2012)",Perciformes,188,Lethrinus olivaceus,LE.OLIV
,,9,190,,,,,189,Lethrinus rubrioperculatus,LE.RUBR
,,10,191,,,,,190,Lepidozygus tapeinosoma,LE.TAPE
,,6,192,,,,,191,Leptoscarus vaigiensis,LE.VAIG
Yellowlip emperor,Lethrinidae,1,193,Lethrinus,,"Order, Family, and EnglishName from Fishbase (2012)",Perciformes,192,Lethrinus xanthochilus,LE.XANT
,,9,194,,,,,193,Lethrinus sp,LETH.SP
Two-spot red snapper,Lutjanidae,1,195,Lutjanus,,"Order, Family, and EnglishName from FishBase",Perciformes,194,Lutjanus bohar,LU.BOHA
Red margined sea-perch,,9,196,,Bwawe,,,195,Lutjanus fulvus,LU.FULV
Hump-back red-snapper,,9,197,,Ikanibong,,,196,Lutjanus gibbus,LU.GIBB
Blue-lined sea perch,,9,198,,Takabe,,,197,Lutjanus kasmira,LU.KASM
,,1,199,,,,,198,Lujanus monostigma,LU.MONO
,,10,200,,,,,199,Luzonichthys whitleyi,LU.WHIT
,,10,201,,,,,200,Manta birostris,MA.BIRO
,,2,202,,,,,201,Malacanthus latovittatus,MA.LATO
,,2,203,,,,,202,Macropharyngodon meleagris,MA.MELE
,,10,204,,,,,203,Meiacanthus atrodorsalis,ME.ATRO
,,10,205,,,,,204,Melichthys niger,ME.NIGE
,,2,206,,,"Guild Info: changed by RT from ZP based on info on Fishbase on 20/4/10. Assuming that it was listed as a ZP originally for consistency with ME.NIGE, which is a zooplanktivore dolphin feces eater",,205,Melichthys vidua,ME.VIDU
Humpnose large-eyed bream,Lethrinidae,2,207,Monotaxis,Matakore,"Order, Family and EnglishName from FishBase (2012)",Perciformes,206,Monotaxis grandoculis,MO.GRAN
,,2,208,,,,,207,Mulloidichthys flavolineatus,MU.FLAV
,,2,209,,,,,208,Mulloidichthys mimicus,MU.MIMI
,,2,210,,,,,209,Mulloidichthys vanicolensis,MU.VANI
,,10,211,,,,,210,Myripristis adusta,MY.ADUS
,,10,212,,,,,211,Myripristis amaena,MY.AMAE
,,10,213,,,,,212,Myripristis berndti,MY.BERN
,,10,214,,,"Guild Info: Added by RT on 14-mar-11. No trophic info on fishbase, assigned ZP for consistency with other soldierfish",,213,Myripristis earlei,MY.EARL
Black-tip soldierfish,,10,215,,Kungkung (mon),,,214,Myripristis kuntee,MY.KUNT
,,10,216,,,,,215,Myripristis murdjan,MY.MURD
,,10,217,,,,,216,Naso annulatus,NA.ANNU
,,10,218,,,,,217,Naso brevirostris,NA.BREV
,,10,219,,,,,218,Naso hexacanthus,NA.HEXA
,,6,220,,,,,219,Naso lituratus,NA.LITU
Brown Unicornfish,,6,221,,Bokaboka,,,220,Naso unicornis,NA.UNIC
,,10,222,,,,,221,Naso vlamingii,NA.VLAM
,,3,223,,,,,222,Nebrius ferrugineus,NE.FERR
,,2,225,,,,,224,Neoniphon opercularis,NE.OPER
,,2,226,,,,,225,Neoniphon sammara,NE.SAMM
,,2,227,,,,,226,Novaculicthys taeniourus,NO.TAEN
,,10,228,,,,,227,Odonus niger,OD.NIGE
,,10,229,,,,,228,Ostorhinchus angustatus,OS.ANGU
,,10,230,,,,,229,Ostorhinchus apogonides,OS.APOG
,,8,231,,,,,230,Ostracion meleagris,OS.MELE
,,9,232,,,,,231,Oxycheilinus diagrammus,OX.DIGR
,,9,233,,,,,232,Oxycheilinus unifasciatus,OX.UNIF
Arc-eye hawkfish,Cirrhitidae,2,234,Paracirrhites,,"Order, Family, and EnglishName from FishBase (2012)",Perciformes,233,Paracirrhites arcatus,PA.ARCA
Gold-saddle goatfish,,2,235,,Mawa,,,234,Parupeneus barberinus,PA.BARB
Salmonet,,2,236,,Mawa,,,235,Parupeneus cyclostomus,PA.CYCL
,,9,237,,,,,236,Paracirrhites forsteri,PA.FORS
,,9,238,,,,,237,Paracirrhites hemistictus,PA.HEMI
,,10,239,,,,,238,Paracanthurus hepatus,PA.HEPA
Twosaddle goatfish,Mullidae,2,240,Parupeneus,,"Order, Family, and EnglishName from FishBase (2012)",Perciformes,239,Parupeneus insularis,PA.INSU
,,2,241,,,,,240,Parapercis lata,PA.LATA
,,2,242,,,,,241,Parapercis millepunctata,PA.MILL
,,2,243,,,,,242,Parupeneus multifasciatus,PA.MULT
,,2,244,,,,,243,Parupeneus pleurostigma,PA.PLEU
,,2,245,,,"Guild info: Added by RT on 14-Mar-11 based on FB description ""Feeds on invertebrates, preferably crustaceans.""",,244,Paracirrhites xanthus,PA.XANT
,,2,246,,,,,245,Parupeneus sp,PARU.SP
,,8,247,,,,,246,Pervagor aspricaudus,PE.ASPR
Sweeper,,10,248,,Barere,,,247,Pempheris oualensis,PE.OUAL
,,8,249,,,,,248,Pervagor sp,PERV.SP
Blackbar devil,Pomacentridae,8,250,Plectroglyphidodon,,"Order, Family, EnglishName from FishBase (2012)",Perciformes,249,Plectroglyphidodon dickii,PL.DICK
,,2,251,,,,,250,Plectroglyphidodon imparipennis,PL.IMPA
,,2,252,,,,,251,Plectroglyphidodon johnstonianus,PL.JOHN
Long-nosed bait fish,,8,253,,Ibwabwa,,,252,Platax orbicularis,PL.ORBI
,,8,254,,,,,253,Plectroglyphidodon phoenixensis,PL.PHOE
,,10,255,,,,,254,Plagiotremus rhinorhynchos,PL.RHIN
,,10,256,,,,,255,Plagiotremus tapeinosoma,PL.TAPE
,,10,257,,,,,256,Plagiotremis sp,PLAG.SP
,,10,258,,,,,257,Pomacentrus coelestis,PO.COEL
,,2,259,,,,,258,Pomacanthus imperator,PO.IMPE
,,3,260,,,,,259,Pogonoperca punctata,PO.PUNC
,,10,261,,,,,260,Priacanthus hamrur,PR.HAMR
,,10,262,,,,,261,Pseudanthias bartlettorum,PS.BART
,,10,263,,,,,262,Pseudanthias cooperi,PS.COOP
,,10,264,,,,,263,Pseudanthias dispar,PS.DISP
,,2,265,,,,,264,Pseudobalistes flavimarginatus,PS.FLAV
,,10,266,,,,,265,Pseudocoris heteroptera,PS.HETE
,,2,267,,,,,266,Pseudocheilinus hexataenia,PS.HEXA
,,2,268,,,,,267,Pseudodax moluccanus,PS.MOLU
,,2,269,,,,,268,Pseudocheilinus octotaenia,PS.OCTO
,Serranidae,10,270,Pseudanthias,,"Order, Family from FishBase (2012)",Perciformes,269,Pseudanthias olivaceus,PS.OLIV
,,10,271,,,"Guild info: Added by RT on 14-Mar-11 based on FB description ""Stomach contents of specimens taken from Oahu and Johnston I. consisted of demersal eggs, copepods, amphipods, alpheid shrimp, crab megalops, larval shrimp and gastropod. However, it is likely that the copepods and larval food items are from demersal plankton because this species is never seen more than a few centimeters off the bottom (Ref. 33410)""",,270,Pseudocheilinus tetrataenia,PS.TETR
,,2,272,,,,,271,Pseudocheilinus sp,PSEU.SP
,,10,273,,,,,272,Pseudanthias sp,PSEUDA.SP
,,9,274,,,,,273,Pterois antennata,PT.ANTE
,,10,275,,,,,274,Pterocaesio lativittata,PT.CFLA
,,10,285,,,,,275,Pterocaesio sp.,PTER.SP
,,10,276,,,,,276,Ptereleotris evides,PT.EVID
,,10,277,,,,,277,Ptereleotris heteroptera,PT.HETE
,,10,279,,,,,279,Ptereleotris magnifica,PT.MAGN
,,10,280,,,,,280,Ptereleotris microlepis,PT.MICR
,,9,281,,,,,281,Pterois radiata,PT.RADI
Dark-banded fusilier,Caesionidae,10,282,Pterocaesio,,"Order, Family, EnglishName from FishBase (2012)",Perciformes,282,Pterocaesio tile,PT.TILE
,,9,283,,,,,283,Pterois volitans,PT.VOLI
,,10,284,,,,,284,Ptereleotris zebra,PT.ZEBR
,,10,286,,,,,285,Ptereleotris sp,PTERE.SP
,,2,287,,,,,286,Rhinecanthus rectangulus,RH.RECT
,,2,288,,,,,287,Rhinecanthus aculeatus,RH.ACUL
,,2,289,,,Guild info: Added by RT on 12-mar-11,,288,Sargocentron caudimaculatum,SA.CAUD
,,2,290,,,,,289,Sargocentron diadema,SA.DIAD
,,2,291,,,,,290,Sargocentron ittodai,SA.ITTO
,,3,292,,,,,291,Sargocentron spiniferum,SA.SPIN
,,2,293,,,,,292,Sargocentron tiere,SA.TIER
,,6,294,,,,,293,Scarus altipinnis,SC.ALTI
,,6,295,,,,,294,Scarus festivus,SC.FEST
,,6,296,,,,,295,Scarus forsteni,SC.FORS
,,6,297,,,,,296,Scarus frenatus,SC.FREN
,,6,298,,,,,297,Scarus ghobban,SC.GHOB
,,6,299,,,,,298,Scarus globiceps,SC.GLOB
,,1,300,,,,,299,Scomberoides lysan,SC.LYSA
,,6,301,,,,,300,Scarus niger,SC.NIGE
,,6,302,,,,,301,Scarus oviceps,SC.OVIC
,,6,303,,,,,302,Scarus psittacus,SC.PSIT
,,6,304,,,,,303,Scarus rubroviolaceus,SC.RUBR
,,6,305,,,,,304,Scarus spinus,SC.SPIN
,,6,306,,,,,305,Scarus tricolor,SC.TRIC
,,6,307,,,,,306,Scarus sp,SCAR.SP
,,2,308,,,,,307,Sebastapistes coniorta,SE.CONI
,,2,309,,,,,308,Sebastapistes cyanostigma,SE.CYAN
Barracuda,,1,311,,Bwaninua,,,310,Sphyraena barracuda,SP.BARR
,,9,312,,,,,311,Sphyraena helleri,SP.HELL
,,1,313,,,,,312,Sphyraena qenie,SP.QENI
,,6,315,,,,,313,Stegastes aureus,ST.AURE
,,2,316,,,,,314,Stethojulis bandanensis,ST.BAND
,,6,317,,,,,315,Stegastes fasciolatus,ST.FASC
,,6,318,,,,,316,Stegastes nigricans,ST.NIGE
,,2,319,,,,,317,Sufflamen bursa,SU.BURS
,,2,320,,,,,318,Sufflamen chrysopterum,SU.CHRY
,,2,321,,,,,319,Sufflamen fraenatum,SU.FRAE
,,9,322,,,,,320,Synodus binotatus,SY.BINO
,,9,323,,,,,321,Synodus dermatogenys,SY.DERM
,,9,324,,,,,322,Synodus jaculum,SY.JACU
,,2,325,,,,,323,Synchiropus moyeri,SY.MOYE
,,2,326,,,,,324,Synchiropus ocellatus,SY.OCEL
Variegated Lizardfish,,9,327,,Uningaabo,,,325,Synodus variegatus,SY.VARG
,,9,328,,,,,326,Synanceia verrucosa,SY.VERR
,,9,329,,,,,327,Synodus sp,SYNO.SP
Yellowfin tuna,,1,330,,"Baiura, Ingimea",,,328,Thunnus albacares,TH.ALBA
,,10,331,,,,,329,Thalassoma amblycephalum,TH.AMBL
,,2,332,,,,,330,Thalassoma lunare,TH.LUNA
,,2,333,,,,,331,Thalassoma lutescens,TH.LUTE
,,2,334,,,,,332,Thalassoma purpureum,TH.PURP
,,2,335,,,,,333,Thalassoma quinquevittatum,TH.QUIN
,,2,336,,,,,334,Thalassoma trilobatum,TH.TRIL
,,2,337,,,,,335,Thalassoma sp,THAL.SP
White-tipped dog shark,,1,338,,Bakoa,,,336,Triaenodon obesus,TR.OBES
,,2,339,,,,,337,Valenciennea helsdingenii,VA.HELS
Yellow-edged lyretail,Serranidae,1,340,Variola,,"Order, Family, and EnglishName from FishBase (2012)",Perciformes,338,Variola louti,VA.LOUT
,,2,341,,,,,339,Valenciennea strigata,VA.STRI
,,10,343,,,Guild info: Added by RT on 14-mar-11,,340,Xanthichthys auromarginatus,XA.AURO
,,10,342,,,,,341,Xanthichthys caeruleolineatus,XA.CAER
,,2,344,,,,,342,Zanclus cornutus,ZA.CORN
,,6,345,,,,,343,Zebrasoma rostratum,ZE.ROST
,,6,346,,,,,344,Zebrasoma scopas,ZE.SCOP
,,6,347,,,,,345,Zebrasoma veliferum,ZE.VELI
Sergeant Major,,,,,Bukibuki,,,346,Abudefduf septemfasciatus,
Wahoo (King fish),,,,,Bwaara,,,347,Acanthocybium solandri,
Convict surgeon fish,,,,,Koinawa,,,348,Acanthulus triostegus,
White tail surgeonfish,,,,,Riba,,,349,Acathurus gahhm,
Sea-cucumber,,,,,Kereboki,,,350,Actinopyrga miliaris,
Bone fish,,,,,Ikari,,,352,Albula vulpes,
Hardy head,,,,,Rerekoti,,,353,Allenetta ovalaua,
Threadfin coralfish,,,,,Ibwabwa,,,354,Anisochaetodon auringa,
Small-tooth jobfish,,,,,Bukinrin,,,356,Aphareus rutilans,
Whaler-shark,,,,,"Bwabutababa, Bubutakataka",,,357,Aprionodon brevipinna,
Diagonal-banded toadfish,,,,,Bunii,,,359,Arathron aerostaticus,
Narrow-lined toadfish,,,,,Bunii,,,360,Arothron immaculatus,
White barred triggerfish,,,,,Bubu,,,361,Balistes aculeatus,
Brown trigger fish,,,,,Nuonuo,,,362,Balistes fuscus,
Red-lined Triggerfish,,,,,Bubutakataka,,,363,Balistes undulatus,
Leopard flounder,,,,,Baibai,,,364,Bothus pantherrinus,
Forster's sea-pike,,,,,Ikabwauea,,,365,Callossphyraena toxeuma,
Blue-barred orange parrot-fish,,,,,"Inai, Ouru",,,366,Callyodon ghobban,
Blue trevally,,,,,Kona,,,368,Carangoides laticaudis,
Malabar trevally,,,,,Matabareka,,,369,Carangoides malabaricus,
Papuan trevally,,,,,Kuianrereba,,,371,Caranx sansun,
White-cheeked whaler shark,,,,,Bwabu,,,373,Carcharhinus dussumieri,
Spot-tail shark,,,,,Baiburoburo,English name from Fishbase (2013),,374,Carcharhinus spallanzanni,
Long-nosed trevally,,,,,Tibetibe,,,375,Carrangoides chrysophrys,
Blue-spotted rock-cod,,,,,Nrekereke,,,376,Cephalopholis cyanostigma,
Milkfish,,,,,Baneawa,,,378,Chanos chanos (Juveniles),
Milkfish,,,,,Tawaa,,,379,Chanos chanos (larvae),
Turtle,,,,,On,,,380,Chelonia mydas,
Dolphin fish,,,,,Takua,,,381,Coryphaena hippurus,
Leopard moray,,,,,Kairoroo,,,382,Cymnothorax flavimarginatus,
Brown-lined wrasse,,,,,Kiari,,,383,Cymolutes lecluse,
Flying fish,,,,,Onauti,,,384,Cypselurus spp.,
Mackerel scad,,,,,Barii,,,385,Decapterus pinnulatus,
Goldspot herring,,,,,Tarabuti,,,386,Dussumicria acuta,
Remora,,,,,Taritari,,,387,Echeneis naucrates,
Brown spotted grouper,,,,,Utin-naano,,,389,Epinephelus chlorostigma,
Purple rock-cod,,,,,Bwaru,,,390,Epinephelus flavocaeruleus,
Brown-marbled grouper,,,,,Tebakati,,,391,Epinephelus fuscoguttatus,
Honeycomb rock-cod,,,,,Kuau,,,392,Epinephelus merra,
Curve banded grouper,,,,,Kuau-morua,,,393,Epinephelus morrhua,
Seven banded grouper,,,,,Kauoto,,,394,Epinephelus septemfasciatus,
Short-tailed red snapper,,,,,Arataba,,,395,Etelis carbunculus,
Long-tailed red snapper,,,,,Buki-uaaki,,,396,Etelis coruscans,
